Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Ha,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2022,Season B,February,Rweru,Maize,0.13,0.13,13.0,Hillside,Local Variety,Yes,Inorganic (NPK),186.0,No,Rice,Low,Sufficient,No,No,20.3,Clay Soil,6.98,2.52,65.3,11.7,188.2,23.2,48.3,78.4,7.2,11.0,106.9,12.48
2023,Season B,May,Mareba,Beans,1.5,1.13,113.0,Flat,Improved (RWR 2245),No,None,0.0,Partial,Maize,High,Limited,Yes,Yes,18.5,Sandy Loam,6.96,3.06,61.1,12.0,219.4,22.8,68.4,76.7,7.3,11.2,103.8,10.04
2024,Season B,April,Shyara,Maize,2.9,2.79,279.0,Hillside,Improved (WH507),No,None,0.0,Yes,Rice,Low,Sufficient,Yes,No,23.9,Sandy Loam,6.01,2.2,54.2,23.7,250.9,23.4,149.6,73.1,7.4,10.3,108.8,19.21
2022,Season A,January,Ruhuha,Maize,2.42,1.7,170.0,Flat,Improved (WH507),No,None,0.0,Partial,Maize,High,Adequate,Yes,No,11.9,Sandy Loam,6.95,2.54,63.8,20.2,192.0,21.1,75.1,71.9,8.1,13.3,95.2,12.89
2021,Season A,October,Ruhuha,Beans,0.83,0.59,59.0,Hillside,Local Variety,No,None,0.0,Yes,Cassava,Medium,Sufficient,No,No,18.8,Sandy Loam,7.14,2.24,60.9,18.5,191.3,23.4,126.2,85.5,7.2,10.6,99.2,6.84
2021,Season B,June,Mayange,Beans,0.28,0.28,28.0,Valley,Hybrid (MAC 44),No,None,0.0,No,Beans,Low,Adequate,Yes,Yes,13.8,Sandy Loam,5.99,2.97,63.5,13.8,214.7,23.3,38.0,74.5,7.9,11.0,128.0,6.05
2022,Season A,September,Ntarama,Beans,1.63,1.06,106.0,Valley,Improved (RWR 2245),Partial,Inorganic (NPK),15.4,No,Cassava,Medium,Sufficient,No,No,18.5,Sandy Soil,7.29,2.72,65.4,10.3,252.5,22.4,83.2,78.4,7.2,12.4,127.6,14.72
2021,Season B,June,Nyamata,Rice,0.61,0.39,39.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),27.2,No,Maize,Low,Sufficient,Yes,Yes,21.8,Clay Soil,7.19,3.27,74.9,26.1,247.2,22.8,30.8,74.7,8.0,12.1,110.8,24.53
2021,Season A,November,Mareba,Maize,0.74,0.64,64.0,Hillside,Hybrid (H614D),Yes,Organic (Compost),0.0,Yes,Maize,Low,Adequate,No,No,18.9,Sandy Loam,7.13,3.16,63.3,10.6,233.4,22.8,132.3,76.4,7.3,8.9,97.1,27.08
2024,Season A,November,Mareba,Beans,0.53,0.42,42.0,Valley,Improved (RWR 2245),Partial,Organic (Compost),30.7,No,Rice,Medium,Limited,No,No,9.9,Sandy Loam,7.12,3.01,62.7,9.5,250.1,25.3,141.9,89.2,6.8,10.3,108.5,11.02
2024,Season B,June,Nyamata,Beans,1.64,1.09,109.0,Flat,Local Variety,No,None,0.0,Partial,Beans,High,Limited,Yes,No,19.2,Clay Soil,7.24,3.43,75.9,23.9,258.6,22.0,29.7,66.2,7.4,11.7,106.1,3.84
2024,Season B,February,Rweru,Rice,1.1,0.77,77.0,Flat,Hybrid (Komboka),No,None,0.0,No,Beans,Low,Adequate,Yes,No,18.5,Clay Soil,6.92,2.45,64.0,10.4,187.9,21.4,52.8,73.9,7.6,11.0,117.7,17.62
2021,Season B,April,Juru,Beans,2.89,2.87,287.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Beans,High,Sufficient,Yes,No,17.2,Sandy Loam,6.8,2.58,47.1,22.5,165.6,24.2,120.6,75.5,6.4,9.0,99.8,5.73
2024,Season A,September,Mareba,Rice,2.27,1.67,167.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Maize,Low,Limited,No,No,16.0,Sandy Loam,7.12,3.14,60.5,14.7,237.3,23.2,68.3,69.4,7.8,12.4,129.4,22.67
2020,Season B,April,Gashora,Maize,1.51,1.11,111.0,Valley,Improved (WH507),Yes,Mixed (Organic + Inorganic),239.9,Yes,Beans,Medium,Limited,No,No,11.7,Loam,6.54,2.3,50.8,20.3,202.4,23.3,148.6,77.9,7.4,11.1,114.8,20.37
2022,Season B,May,Nyamata,Rice,2.96,1.86,186.0,Valley,Local Variety,Yes,Mixed (Organic + Inorganic),197.3,Yes,Beans,Low,Adequate,No,Yes,9.5,Clay Soil,7.0,3.2,75.9,21.6,246.8,22.7,82.7,77.5,7.6,11.7,100.6,24.03
2022,Season A,October,Nyarugenge,Beans,2.29,2.17,217.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,Yes,Beans,Low,Sufficient,No,Yes,9.8,Clay Soil,6.22,2.32,41.1,19.1,204.3,24.1,144.2,77.8,7.0,10.7,97.2,10.82
2021,Season B,May,Ruhuha,Rice,0.46,0.45,45.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),230.6,Partial,Maize,Low,Adequate,Yes,No,12.2,Sandy Loam,6.88,2.59,62.2,16.0,189.2,22.0,99.9,79.1,7.6,12.5,91.3,26.57
2020,Season A,October,Rweru,Maize,2.86,2.68,268.0,Hillside,Local Variety,No,None,0.0,No,Beans,Medium,Sufficient,No,No,6.4,Clay Soil,7.11,2.7,71.4,10.5,194.6,24.6,117.4,79.0,5.7,10.5,98.0,14.32
2021,Season B,May,Mareba,Beans,2.02,1.26,126.0,Hillside,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),124.1,No,Beans,High,Sufficient,Yes,No,21.2,Sandy Loam,6.94,3.13,61.6,15.3,251.3,22.8,82.3,75.6,6.6,10.7,114.7,8.7
2021,Season B,February,Mwogo,Rice,2.42,1.8,180.0,Valley,Hybrid (Komboka),No,None,0.0,Partial,Beans,Medium,Sufficient,Yes,No,23.8,Sandy Soil,5.87,1.99,69.3,24.2,161.2,23.4,92.4,74.6,7.5,12.0,122.4,25.16
2023,Season B,June,Kamabuye,Beans,0.71,0.69,69.0,Valley,Local Variety,Partial,Organic (Compost),31.2,No,Beans,Medium,Limited,No,No,24.8,Clay Soil,7.04,2.39,36.4,19.4,212.3,21.7,32.4,71.3,7.6,10.8,125.1,4.52
2024,Season B,May,Shyara,Beans,0.9,0.86,86.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Maize,Medium,Limited,Yes,No,7.0,Sandy Loam,6.15,2.4,59.4,20.2,269.7,24.9,102.9,81.7,7.3,9.2,101.9,9.05
2024,Season B,April,Nyarugenge,Beans,1.93,1.39,139.0,Hillside,Hybrid (MAC 44),No,None,0.0,Yes,Cassava,High,Adequate,No,No,19.0,Clay Soil,5.98,2.18,38.5,23.1,188.7,22.9,137.4,78.0,5.9,10.5,96.0,8.16
2024,Season B,June,Rweru,Maize,2.54,2.26,226.0,Hillside,Improved (WH507),Yes,Mixed (Organic + Inorganic),241.6,No,Beans,Low,Adequate,No,No,9.3,Clay Soil,7.18,2.69,66.0,13.8,183.0,24.4,41.5,68.1,9.4,13.2,116.3,15.49
2020,Season A,November,Juru,Maize,1.41,1.33,133.0,Valley,Hybrid (H614D),Partial,Inorganic (NPK),28.4,Partial,Beans,Medium,Sufficient,No,Yes,14.8,Sandy Loam,6.91,2.83,42.5,23.4,173.3,23.3,118.1,66.2,7.3,10.9,92.2,26.19
2020,Season A,October,Mayange,Beans,1.48,1.35,135.0,Hillside,Improved (RWR 2245),No,None,0.0,Yes,Beans,High,Sufficient,Yes,No,5.9,Sandy Loam,6.09,2.83,68.5,11.8,204.6,23.8,84.6,68.4,6.6,8.9,104.6,10.55
2020,Season B,April,Mwogo,Rice,2.95,2.39,239.0,Valley,Hybrid (Komboka),No,None,0.0,No,Maize,Low,Limited,No,Yes,6.2,Sandy Soil,6.19,1.83,66.8,19.5,158.2,25.1,146.0,76.1,7.0,9.2,115.2,23.36
2024,Season A,January,Mareba,Maize,0.76,0.74,74.0,Flat,Improved (WH507),Partial,Organic (Compost),49.2,No,Maize,Low,Limited,Yes,Yes,20.3,Sandy Loam,7.08,3.21,60.4,10.5,226.5,21.3,67.0,70.3,7.5,10.5,105.0,15.52
2024,Season A,September,Juru,Maize,2.44,1.91,191.0,Flat,Local Variety,Yes,Inorganic (NPK),146.7,No,Beans,Low,Limited,Yes,Yes,16.4,Sandy Loam,6.92,2.67,42.8,22.9,174.0,23.0,100.6,75.0,7.4,11.1,130.9,16.06
2022,Season B,April,Mwogo,Maize,1.18,1.0,100.0,Valley,Hybrid (H614D),No,None,0.0,Yes,Maize,Low,Limited,No,No,10.4,Sandy Soil,5.96,1.9,65.6,22.2,167.2,24.6,81.6,77.8,6.8,10.4,106.7,22.85
2022,Season B,April,Ruhuha,Rice,0.33,0.32,32.0,Valley,Improved (IR64 / NERICA),Partial,Inorganic (NPK),10.1,No,Rice,Medium,Adequate,Yes,No,17.2,Sandy Loam,6.96,2.49,58.3,19.5,183.8,22.5,150.1,85.9,6.9,11.1,100.5,32.18
2022,Season B,June,Shyara,Maize,1.43,0.93,93.0,Hillside,Improved (WH507),Partial,Inorganic (NPK),48.4,Yes,Beans,Low,Limited,Yes,No,6.4,Sandy Loam,6.24,2.32,57.7,18.1,271.5,20.6,24.0,52.3,8.6,12.6,114.4,16.13
2021,Season B,April,Ruhuha,Rice,0.67,0.54,54.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,No,No,18.4,Sandy Loam,7.06,2.29,64.4,15.7,181.6,21.9,111.9,71.0,6.7,11.1,113.6,19.41
2024,Season B,March,Ngeruka,Maize,0.98,0.71,71.0,Valley,Improved (WH507),No,None,0.0,No,Cassava,Low,Sufficient,Yes,No,8.8,Loam,7.15,2.75,66.4,24.0,202.0,23.9,132.4,65.8,6.7,11.4,96.7,15.04
2023,Season A,December,Shyara,Rice,0.77,0.6,60.0,Flat,Local Variety,Yes,Inorganic (NPK),73.7,Partial,Beans,Medium,Limited,No,Yes,22.3,Sandy Loam,6.04,2.45,58.0,23.4,261.3,21.1,75.6,76.9,7.8,12.2,111.5,16.76
2020,Season B,April,Rweru,Maize,1.31,1.18,118.0,Hillside,Improved (WH507),Yes,Organic (Compost),0.0,Yes,Maize,Medium,Limited,Yes,Yes,18.5,Clay Soil,7.1,2.53,67.8,10.2,199.8,21.6,114.4,80.2,6.1,11.7,99.4,17.95
2022,Season A,November,Ruhuha,Rice,2.37,2.17,217.0,Flat,Local Variety,Yes,Organic (Compost),0.0,Yes,Beans,Low,Limited,No,No,6.8,Sandy Loam,7.03,2.42,61.4,15.6,182.2,23.3,110.7,78.9,6.8,10.9,109.8,22.1
2024,Season B,April,Nyamata,Rice,0.64,0.55,55.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Cassava,Medium,Limited,Yes,No,11.7,Clay Soil,7.16,2.95,76.0,22.9,250.3,23.9,88.3,80.6,7.6,9.8,93.2,30.4
2024,Season B,March,Kamabuye,Maize,0.84,0.71,71.0,Valley,Hybrid (H614D),No,None,0.0,Yes,Beans,Low,Adequate,No,Yes,16.6,Clay Soil,7.11,2.35,35.4,20.9,202.9,24.8,90.3,70.0,7.8,10.9,103.6,21.48
2021,Season A,September,Nyarugenge,Maize,1.72,1.64,164.0,Flat,Hybrid (H614D),Partial,Organic (Compost),17.7,No,Beans,Low,Adequate,Yes,No,17.0,Clay Soil,6.33,2.52,37.1,22.3,210.8,22.4,75.1,73.6,6.1,12.9,125.9,28.68
2024,Season B,April,Rweru,Beans,0.33,0.26,26.0,Hillside,Hybrid (MAC 44),No,None,0.0,No,Fallow,Low,Limited,Yes,No,9.0,Clay Soil,7.01,2.66,64.3,19.6,191.7,24.0,67.0,82.5,7.0,9.4,111.2,9.02
2020,Season A,November,Nyamata,Beans,0.56,0.51,51.0,Valley,Hybrid (MAC 44),Partial,Inorganic (NPK),74.4,No,Maize,Low,Adequate,Yes,No,21.1,Clay Soil,7.16,3.16,79.7,23.4,248.9,22.2,100.0,75.1,7.1,10.2,105.6,11.53
2023,Season A,December,Rweru,Maize,1.66,1.55,155.0,Valley,Improved (WH507),Yes,Mixed (Organic + Inorganic),36.3,No,Beans,High,Adequate,No,No,23.6,Clay Soil,6.99,2.71,65.7,13.2,179.2,23.3,51.4,76.0,7.6,12.1,110.4,15.31
2020,Season A,November,Ntarama,Beans,0.63,0.39,39.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),53.9,Yes,Beans,Low,Adequate,Yes,No,12.4,Sandy Soil,6.98,2.9,61.7,10.6,249.1,25.1,118.7,82.3,7.5,11.0,108.0,14.08
2023,Season B,May,Rilima,Maize,2.03,1.93,193.0,Hillside,Improved (WH507),Partial,Organic (Compost),67.3,Yes,Cassava,Low,Adequate,No,Yes,14.5,Sandy Soil,5.95,1.85,41.3,15.0,207.9,21.1,55.1,71.1,6.8,9.2,119.4,18.19
2022,Season A,September,Gashora,Rice,2.71,2.59,259.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Yes,Cassava,High,Sufficient,No,No,14.0,Loam,6.36,1.81,49.4,25.4,194.0,25.9,107.2,84.8,7.1,13.1,121.5,33.46
2020,Season A,January,Nyarugenge,Rice,2.82,2.76,276.0,Valley,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),89.2,Partial,Beans,Low,Sufficient,Yes,No,16.4,Clay Soil,5.99,2.17,40.5,23.5,192.0,21.9,42.5,67.5,7.1,10.7,110.3,35.66
2022,Season B,June,Rilima,Beans,2.92,2.41,241.0,Valley,Hybrid (MAC 44),No,None,0.0,No,Beans,High,Sufficient,No,Yes,12.2,Sandy Soil,5.98,1.79,44.0,16.9,214.4,24.7,47.2,65.9,8.6,11.9,111.0,5.19
2024,Season A,November,Ntarama,Rice,1.71,1.15,115.0,Valley,Improved (IR64 / NERICA),Partial,Inorganic (NPK),14.2,Yes,Beans,Low,Adequate,No,No,18.6,Sandy Soil,7.09,3.07,60.8,13.7,244.8,23.6,82.6,77.9,6.9,11.1,91.5,39.44
2023,Season A,January,Ngeruka,Beans,2.15,1.33,133.0,Valley,Hybrid (MAC 44),Partial,Inorganic (NPK),62.2,Yes,Cassava,Medium,Adequate,No,No,17.1,Loam,6.96,2.54,76.0,18.5,187.7,20.6,89.0,78.5,7.6,12.3,100.2,10.7
2022,Season A,November,Nyarugenge,Maize,2.92,2.67,267.0,Hillside,Local Variety,Yes,Mixed (Organic + Inorganic),165.5,Partial,Beans,Medium,Limited,Yes,No,19.5,Clay Soil,6.24,2.01,39.3,21.6,191.1,23.5,77.9,86.0,7.8,10.9,117.5,17.34
2020,Season A,October,Rweru,Beans,1.34,1.0,100.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Fallow,Low,Sufficient,No,No,13.5,Clay Soil,6.95,2.63,64.7,9.4,185.6,25.7,153.3,84.2,7.0,10.2,102.9,7.81
2023,Season B,June,Rilima,Rice,2.88,2.06,206.0,Flat,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),98.4,No,Cassava,High,Adequate,Yes,No,10.4,Sandy Soil,6.16,1.42,44.0,15.0,209.9,20.9,35.6,65.1,8.4,12.3,120.7,23.44
2024,Season B,March,Kamabuye,Maize,0.65,0.51,51.0,Hillside,Local Variety,No,None,0.0,Yes,Maize,Low,Adequate,Yes,Yes,9.4,Clay Soil,7.06,2.3,42.3,19.9,201.5,23.0,90.8,79.7,7.1,10.9,109.1,12.45
2024,Season B,February,Shyara,Beans,0.23,0.16,16.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Fallow,Medium,Adequate,No,Yes,5.2,Sandy Loam,5.99,2.15,56.4,20.7,270.8,25.0,44.2,66.0,7.4,11.4,126.3,6.34
2020,Season A,October,Musenyi,Rice,0.54,0.39,39.0,Flat,Local Variety,Partial,Inorganic (NPK),12.5,No,Beans,High,Sufficient,Yes,No,24.9,Loam,7.01,2.42,44.9,14.6,263.6,22.5,76.4,75.4,6.2,10.4,110.1,17.71
2024,Season A,December,Mwogo,Beans,0.15,0.14,14.0,Hillside,Hybrid (MAC 44),Partial,Organic (Compost),78.6,No,Fallow,Low,Limited,No,No,12.9,Sandy Soil,5.95,2.04,69.2,20.7,155.4,24.9,82.3,67.7,7.9,9.7,117.6,8.55
2021,Season A,September,Mayange,Rice,1.53,1.23,123.0,Flat,Improved (IR64 / NERICA),Yes,Inorganic (NPK),198.3,Yes,Maize,High,Sufficient,Yes,Yes,5.5,Sandy Loam,5.96,2.78,65.9,9.8,215.0,24.8,75.6,84.3,7.1,10.9,129.7,30.68
2021,Season B,May,Mareba,Beans,1.72,1.3,130.0,Flat,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Maize,Medium,Sufficient,No,Yes,14.0,Sandy Loam,7.07,2.79,61.5,12.1,232.8,23.6,104.1,77.0,7.4,10.8,106.7,9.83
2023,Season B,March,Mayange,Beans,1.17,0.78,78.0,Valley,Improved (RWR 2245),Partial,Inorganic (NPK),79.0,No,Rice,Low,Adequate,Yes,No,15.1,Sandy Loam,6.08,2.88,66.5,11.8,202.6,22.1,124.7,67.0,6.9,10.6,104.3,13.26
2024,Season B,April,Kamabuye,Maize,2.07,1.71,171.0,Flat,Local Variety,No,None,0.0,Yes,Maize,Medium,Sufficient,Yes,No,24.1,Clay Soil,7.04,2.33,34.7,17.8,215.8,22.8,85.3,78.6,6.7,10.1,93.0,12.79
2021,Season A,November,Nyamata,Rice,0.2,0.15,15.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),89.0,Yes,Fallow,Medium,Adequate,No,Yes,9.5,Clay Soil,7.04,3.13,74.5,23.8,236.9,23.7,86.5,79.4,6.8,10.5,106.8,27.2
2021,Season A,October,Rilima,Beans,0.49,0.42,42.0,Flat,Hybrid (MAC 44),Partial,Organic (Compost),11.1,No,Beans,Low,Adequate,Yes,No,10.6,Sandy Soil,6.11,1.97,41.2,17.4,206.4,23.0,121.1,72.8,6.4,11.6,112.2,10.28
2021,Season A,January,Mareba,Beans,0.93,0.66,66.0,Valley,Hybrid (MAC 44),Yes,Inorganic (NPK),237.3,No,Maize,High,Limited,Yes,No,24.2,Sandy Loam,7.05,2.96,62.3,10.3,234.9,20.8,76.0,74.5,7.5,10.1,99.2,8.52
2021,Season A,January,Rilima,Rice,0.61,0.56,56.0,Valley,Improved (IR64 / NERICA),No,None,0.0,Partial,Beans,Medium,Limited,Yes,No,14.4,Sandy Soil,6.28,1.8,44.8,15.9,212.5,23.6,53.3,70.1,7.6,11.5,123.6,26.8
2021,Season A,October,Mayange,Beans,1.89,1.25,125.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Beans,Low,Adequate,Yes,Yes,14.2,Sandy Loam,6.1,2.95,63.9,16.4,213.9,25.3,77.4,74.4,7.3,9.2,91.2,12.13
2021,Season B,April,Gashora,Beans,0.91,0.57,57.0,Valley,Local Variety,No,None,0.0,No,Fallow,High,Adequate,Yes,No,24.6,Loam,6.54,2.07,50.2,22.7,198.4,24.7,84.8,79.8,6.8,9.4,115.9,5.84
2024,Season A,September,Rilima,Rice,0.56,0.45,45.0,Valley,Local Variety,No,None,0.0,Yes,Cassava,Low,Adequate,Yes,Yes,22.1,Sandy Soil,6.05,1.86,46.7,17.3,211.6,24.8,108.8,71.3,7.2,12.6,121.2,25.11
2024,Season A,December,Gashora,Maize,0.15,0.12,12.0,Valley,Improved (WH507),No,None,0.0,No,Beans,Medium,Sufficient,No,Yes,16.8,Loam,6.42,2.04,50.5,29.6,191.8,23.2,117.6,78.6,7.5,9.5,113.7,18.95
2020,Season B,March,Ngeruka,Beans,1.78,1.58,158.0,Valley,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),69.7,No,Cassava,Low,Limited,No,No,23.3,Loam,6.97,2.77,77.5,19.2,200.6,25.5,104.0,76.4,6.6,9.8,106.7,9.05
2022,Season B,March,Nyamata,Beans,2.41,2.36,236.0,Valley,Hybrid (MAC 44),Partial,Inorganic (NPK),70.7,Partial,Rice,Medium,Sufficient,Yes,Yes,5.9,Clay Soil,7.03,3.25,79.9,25.0,261.6,23.0,75.3,81.0,7.0,12.1,110.0,11.03
2021,Season A,October,Nyamata,Rice,2.97,2.01,201.0,Flat,Improved (IR64 / NERICA),Partial,Inorganic (NPK),56.3,No,Beans,High,Adequate,No,Yes,14.8,Clay Soil,6.97,2.98,75.2,24.0,266.0,23.8,70.8,79.1,6.8,10.9,110.9,27.42
2022,Season B,March,Shyara,Maize,0.94,0.7,70.0,Hillside,Improved (WH507),No,None,0.0,No,Beans,High,Sufficient,Yes,No,19.0,Sandy Loam,6.03,2.07,56.4,20.4,261.0,25.2,72.3,74.8,5.8,11.2,112.2,13.96
2020,Season B,April,Juru,Beans,2.26,1.65,165.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Maize,Low,Sufficient,Yes,No,7.1,Sandy Loam,6.94,2.55,52.0,26.7,170.5,22.4,141.8,83.0,6.7,9.7,108.5,13.22
2024,Season B,May,Mayange,Beans,0.5,0.45,45.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Beans,Medium,Adequate,No,No,20.4,Sandy Loam,5.9,2.92,65.9,12.9,201.4,21.2,100.7,79.1,5.9,10.4,99.7,6.56
2023,Season B,March,Ntarama,Maize,1.59,1.38,138.0,Flat,Improved (WH507),Yes,Inorganic (NPK),186.9,No,Rice,Low,Sufficient,Yes,No,16.0,Sandy Soil,7.05,2.89,59.9,10.9,234.1,22.0,94.4,84.5,7.5,11.1,99.8,19.17
2024,Season A,November,Mayange,Rice,1.45,1.39,139.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,Yes,Fallow,Low,Sufficient,No,No,8.7,Sandy Loam,6.07,2.83,59.0,10.2,209.1,21.8,87.4,75.6,7.5,11.5,105.0,39.23
2021,Season A,December,Nyamata,Rice,1.17,0.96,96.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),247.3,No,Rice,High,Adequate,No,Yes,19.1,Clay Soil,7.02,3.28,77.6,21.6,248.9,24.4,115.2,74.9,7.8,10.8,101.5,27.6
2022,Season B,February,Ntarama,Rice,2.42,2.37,237.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Rice,Medium,Adequate,Yes,Yes,17.9,Sandy Soil,7.06,2.84,62.9,13.5,246.1,22.8,66.0,78.2,8.7,9.5,117.2,24.34
2024,Season A,December,Rilima,Maize,2.58,1.81,181.0,Valley,Improved (WH507),Yes,Inorganic (NPK),117.1,Yes,Maize,Low,Limited,No,No,12.1,Sandy Soil,6.01,1.82,41.9,13.4,215.7,21.0,100.5,65.1,8.1,11.2,123.5,19.04
2020,Season A,January,Kamabuye,Rice,1.41,1.19,119.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Partial,Rice,Low,Adequate,No,No,21.6,Clay Soil,7.17,2.41,37.6,22.5,209.9,21.7,57.7,69.4,8.0,11.1,99.3,25.49
2022,Season B,February,Kamabuye,Maize,1.88,1.46,146.0,Hillside,Local Variety,No,None,0.0,Yes,Cassava,Low,Adequate,Yes,No,7.3,Clay Soil,7.03,2.01,43.1,22.3,211.5,22.3,59.4,69.2,8.2,11.4,118.6,10.7
2024,Season A,January,Nyamata,Rice,1.99,1.82,182.0,Valley,Hybrid (Komboka),Yes,Inorganic (NPK),153.5,Partial,Fallow,High,Adequate,No,No,8.9,Clay Soil,6.96,3.11,76.6,26.2,259.2,21.5,88.1,75.2,7.4,9.9,106.6,23.77
2020,Season A,November,Kamabuye,Beans,1.64,1.15,115.0,Flat,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),197.0,No,Beans,Low,Sufficient,No,No,19.2,Clay Soil,7.12,2.3,37.9,21.4,199.5,24.4,62.9,80.2,7.1,11.2,107.1,12.81
2021,Season B,February,Mwogo,Maize,1.62,1.04,104.0,Hillside,Improved (WH507),Yes,Mixed (Organic + Inorganic),28.6,No,Rice,Low,Adequate,Yes,Yes,7.3,Sandy Soil,6.02,2.15,67.0,22.9,166.9,21.8,73.7,67.9,8.0,12.7,98.4,19.9
2024,Season B,June,Gashora,Beans,1.91,1.33,133.0,Valley,Local Variety,Partial,Inorganic (NPK),33.8,No,Beans,Low,Adequate,Yes,No,17.4,Loam,6.54,2.1,48.8,21.7,191.8,25.7,22.1,64.6,7.4,10.3,108.6,5.21
2020,Season B,March,Mareba,Rice,2.54,2.32,232.0,Hillside,Improved (IR64 / NERICA),No,None,0.0,Yes,Maize,Medium,Adequate,No,Yes,22.3,Sandy Loam,7.03,2.9,62.6,15.8,235.2,24.2,57.2,76.6,6.6,12.6,112.2,27.46
2020,Season B,February,Juru,Rice,0.47,0.3,30.0,Valley,Local Variety,No,None,0.0,Partial,Beans,Low,Limited,Yes,No,18.3,Sandy Loam,6.94,2.7,48.6,24.4,180.3,24.2,94.9,82.3,7.9,12.1,121.1,18.52
2021,Season A,September,Musenyi,Rice,2.22,1.71,171.0,Valley,Improved (IR64 / NERICA),No,None,0.0,Yes,Beans,Medium,Adequate,No,No,18.3,Loam,7.21,2.33,38.4,12.7,252.8,25.2,90.8,79.7,8.3,12.2,125.4,35.11
2021,Season B,June,Nyamata,Rice,0.64,0.59,59.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Yes,Maize,Medium,Adequate,Yes,No,12.3,Clay Soil,7.11,3.35,75.6,21.6,254.0,24.4,34.4,60.0,8.9,10.8,129.6,28.4
2024,Season A,November,Ngeruka,Maize,0.21,0.14,14.0,Hillside,Local Variety,No,None,0.0,No,Beans,Low,Adequate,Yes,No,24.7,Loam,6.89,2.81,75.3,22.7,195.0,23.7,85.3,84.4,6.7,9.4,110.3,14.66
2023,Season A,December,Ruhuha,Beans,0.23,0.19,19.0,Valley,Local Variety,Yes,Mixed (Organic + Inorganic),197.3,Yes,Beans,Low,Adequate,Yes,No,21.5,Sandy Loam,6.92,2.41,58.0,24.6,192.3,22.0,111.1,73.1,7.8,10.4,119.8,8.3
2023,Season B,June,Nyamata,Rice,2.91,2.81,281.0,Valley,Hybrid (Komboka),Partial,Organic (Compost),36.8,Yes,Maize,Low,Adequate,No,No,16.2,Clay Soil,6.95,3.24,80.7,25.5,265.1,22.8,40.3,71.2,9.2,11.1,109.6,22.98
2021,Season A,September,Mareba,Maize,1.65,1.61,161.0,Flat,Local Variety,No,None,0.0,No,Rice,Medium,Adequate,Yes,No,7.5,Sandy Loam,6.98,3.15,67.2,15.2,243.7,23.2,67.0,79.2,7.3,12.2,110.2,11.41
2021,Season B,March,Rilima,Rice,1.9,1.4,140.0,Flat,Hybrid (Komboka),No,None,0.0,Yes,Rice,Medium,Adequate,Yes,Yes,9.9,Sandy Soil,6.04,1.77,44.2,14.3,221.7,23.7,89.0,71.2,6.9,10.9,124.1,22.14
2021,Season B,April,Ntarama,Maize,1.49,1.0,100.0,Flat,Local Variety,Yes,Inorganic (NPK),36.9,No,Fallow,Low,Limited,Yes,No,14.7,Sandy Soil,7.12,2.86,56.8,16.5,251.7,23.7,106.0,89.7,7.1,11.1,105.5,12.62
2023,Season B,April,Mwogo,Rice,2.94,2.68,268.0,Valley,Hybrid (Komboka),No,None,0.0,No,Beans,Low,Adequate,No,No,14.2,Sandy Soil,5.97,2.28,65.8,23.3,164.6,23.3,147.4,95.0,7.3,8.3,120.5,26.27
